1 	London 	8.908.081 	1.572 	5.667 	30. Jun. 2018 	Vereinigtes Koenigreich 	ONS[1]
2 	Berlin 	3.651.857 	892 	4.094 	31. Aug. 2019 	Deutschland 	AfS[2]
3 	Madrid 	3.266.126 	607 	5.381 	1. Jan. 2019 	Spanien 	INE[3]
4 	Rom 	2.857.321 	1.285 	2.224 	31. Dez. 2018 	Italien 	ISTAT[4]
5 	Paris 	2.140.526 	105 	20.386 	1. Jan. 2019 	Frankreich 	INSEE[5]
6 	Wien 	1.902.877 	415 	4.585 	1. Jul. 2019 	Oesterreich 	STAT[6]
7 	Hamburg 	1.846.152 	755 	2.445 	30. Sep. 2019 	Deutschland 	STATN[7]
8 	Bukarest 	1.828.018 	228 	8.018 	1. Jan. 2019 	Rumaenien 	INS[8]
9 	Warschau 	1.777.972 	517 	3.439 	31. Dez. 2018 	Polen 	GUS[9]
10 	Budapest 	1.752.286 	525 	3.338 	1. Jan. 2019 	Ungarn 	KSH[10]
11 	Barcelona 	1.636.762 	100 	16.368 	1. Jan. 2019 	Spanien 	INE[3]
12 	Muenchen 	1.478.622 	310 	4.770 	30. Sep. 2019 	Deutschland 	BLfSD[11]
13 	Mailand 	1.378.298 	160 	8.614 	31. Dez. 2018 	Italien 	ISTAT[4]
14 	Prag 	1.308.632 	496 	2.638 	31. Dez. 2018 	Tschechien 	CSu[12]
15 	Sofia 	1.241.675 	492 	2.524 	31. Dez. 2018 	Bulgarien 	NSI[13]
16 	Birmingham 	1.141.374 	268 	4.259 	30. Jun. 2018 	Vereinigtes Koenigreich 	ONS[1]
17 	Koeln 	1.087.001 	405 	2.684 	30. Sep. 2019 	Deutschland 	LDS NRW[14]
18 	Stockholm 	974.145 	188 	5.182 	30. Nov. 2019 	Schweden 	SCB[15]
19 	Neapel 	960.126 	117 	8.206 	31. Dez. 2018 	Italien 	ISTAT[4]
20 	Turin 	876.479 	130 	6.742 	31. Dez. 2018 	Italien 	ISTAT[4]
21 	Amsterdam 	864.217 	219 	3.946 	31. Jan. 2019 	Niederlande 	CBS[16]
22 	Marseille 	863.310 	241 	3.582 	1. Jan. 2017 	Frankreich 	INSEE[5]
23 	Zagreb 	806.341 	641 	1.258 	31. Dez. 2018 	Kroatien 	DZS[17]
24 	Valencia 	794.288 	135 	5.884 	1. Jan. 2019 	Spanien 	INE[3]
25 	Leeds 	789.194 	552 	1.430 	30. Jun. 2018 	Vereinigtes Koenigreich 	ONS[1]
26 	Krakau 	771.069 	327 	2.358 	31. Dez. 2018 	Polen 	GUS[18]
27 	Frankfurt am Main 	761.561 	248 	3.071 	30. Sep. 2019 	Deutschland 	HSL[19]
28 	Sevilla 	688.592 	141 	4.884 	1. Jan. 2019 	Spanien 	INE[3]
29 	Lodz 	685.285 	294 	2.331 	31. Dez. 2018 	Polen 	GUS[18]
30 	Saragossa 	674.997 	974 	693 	1. Jan. 2019 	Spanien 	INE[3]
31 	Athen 	664.046 	39 	17.027 	9. Apr. 2011 	Griechenland 	ELSTAT[20]
32 	Palermo 	663.770 	158 	4.201 	31. Dez. 2018 	Italien 	ISTAT[4]
